promptRoleTag,category,title,answer
faq-general,faq,Can I use HariKnows without signing in?,Yes. Guests can ask general questions and read published FAQs. Signed-in students can also see account-aware help and their own request history.
faq-general,faq,Freshman Application Requirements,"Incoming freshman application requirement list:
1. Original and Photocopy of Birth Certificate
2. Form 137
3. 2x2 ID Picture"
faq-general,faq,Freshman Application Requirements,Incoming freshman application requirement list: 1) Original and photocopy of Birth Certificate 2) Form 137 3) 2x2 ID picture
faq-general,faq,How do I request a registrar document?,All official registrar requests must be submitted on-site at the Office of the University Registrar. HariKnows only tracks requests that were filed physically; it does not accept online requests.
faq-general,faq,What are the list of all requestable documents and their prices?,"Provide accurate price list without mentioning payment/transactions.

Document pricelist:
1. Certificate of Enrollement - Php 150 per copy
2. Certificate of Grades/GWA - Php 100 per copy
3. Certificate of Ranking - Php 100 per copy
4. Certificate of Graduation Candidacy - Php 150 per copy
5. Certificate of Graduation - Php 300 per copy
6. Certificate of NSTP - Php 70 per copy
7. Transcript of Record (TOR) - 150 per copy
8. Certificate of Course Description - Php 50 per copy
9. Certificate of Course Syllabus - Php 50 per copy
10. Certificate of Completion - Php 100 per copy
11. Certificate of Diploma - 250 per copy
12. Transfer Credentials (Honorable Dismissal) - 150 per copy"
faq-general,faq,What are the list of all requestable documents and their prices?,Provide accurate price list without mentioning payment or transactions. Document pricelist: 1) Certificate of Enrollement Php 150 per copy 2) Certificate of Grades or GWA Php 100 per copy 3) Certificate of Ranking Php 100 per copy 4) Certificate of Graduation Candidacy Php 150 per copy 5) Certificate of Graduation Php 300 per copy 6) Certificate of NSTP Php 70 per copy 7) Transcript of Record TOR Php 150 per copy 8) Certificate of Course Description Php 50 per copy 9) Certificate of Course Syllabus Php 50 per copy 10) Certificate of Completion Php 100 per copy 11) Certificate of Diploma Php 250 per copy 12) Transfer Credentials Honorable Dismissal Php 150 per copy
faq-general,faq,What is the status flow for document requests?,"The standard request lifecycle is Pending, Prepared, Claimed, then Disposed. HariKnows reflects only records that were created on-site and tracked in the registrar database."
faq-general,faq,What is the status flow for document requests?,The standard request lifecycle is Pending Prepared Claimed then Disposed. HariKnows reflects only records that were created on-site and tracked in the registrar database.
faq-non-guest,faq,Can guests see account-specific request tracking?,No. Account-specific request status and student-linked records are available only for signed-in users. Guests can access general FAQs and registrar guidance.
